"code","name","Ölçü Br1   ","Ölçü Br2   ","Pay-1   ","Payda-1   ","Ölçü Br3   ","Pay-2   ","Payda-2   ","price","Alış Fiyatı-1   "
"3,9X9,5 YSB","3,9X9,5 YSB SAC VİDASI","AD","","1","1","","1","1","0.33","0.00000"
"3/4160KK","3/4*160 KESME KALEMİ","AD","","1","1","","1","1","0.00","0.00000"
"3/4PUL","3/4 KALIN PUL","AD","","1","1","","1","1","4.50","0.00000"
"3/4UNC","3/4 UNC SOMUN","AD","","1","1","","1","1","6.98","0.00000"
"3/4UNFS","3/4 UNF ÇELİK SOMUN","AD","","1","1","","1","1","4.20","0.00000"
"3/4X32NC","3/4X32 UNC CİVATA","AD","","1","1","","1","1","0.00","0.00000"
"3/4X7""UNF","3/4X7"" UNF ÇELİK CİVATA","AD","","1","1","","1","1","23.86","0.00000"
"3/8NC","3/8 NC ÇELİK SOMUN","AD","","1","1","","1","1","0.00","0.00000"
"3/8PPUL","3/8 (55X10,5X3) PANJUR PULU","AD","","1","1","","1","1","0.00","0.00000"
"3/8PUL","3/8 KALIN PUL","AD","","1","1","","1","1","1.45","0.00000"
"3/8UNC","3/8 UNC SOMUN","AD","","1","1","","1","1","0.32","0.00000"
"3/8UNF","3/8X1 1/4 UNF ÇELİK CİVATA","AD","","1","1","","1","1","1.32","0.00000"
"3/8UNF1/2","3/8X1 1/2 UNF ÇELİK İVATA","AD","","1","1","","1","1","1.49","0.00000"
"3/8UNFS","3/8 UNF SOMUN","AD","","1","1","","1","1","0.32","0.00000"
"3/8X1 NC","3/8X1 NC ÇELİK CİVATA","AD","","1","1","","1","1","0.00","0.00000"
"3/8X2 NC CİVATA","3/8X2 NC CİVATA","AD","","1","1","","1","1","0.00","0.00000"
"3/8X3 NC CİVATA","3/8X3 NC CİVATA","AD","","1","1","","1","1","0.00","0.00000"
"3/8X3/4 NC CİVATA","3/8X3/4 NC CİVATA","AD","","1","1","","1","1","0.00","0.00000"
"3/8x32ŞPUL","3/8X32 ŞASE PULU","AD","","1","1","","1","1","2.00","0.00000"
"3/8YR","3/8 YAYLI RONDELA","AD","","1","1","","1","1","1.11","0.00000"
"3/8ŞPUL","3/8 55 ŞASE PULU","AD","","1","1","","1","1","9.80","0.00000"
"30*600MAX","30*600 SDS MAX MATKAP UCU","AD","","1","1","","1","1","501.49","0.00000"
"30*600PLUS","30*600 SDS PLUS MATKAP UCU","AD","","1","1","","1","1","0.00","0.00000"
"308120","308 1,2 PASLANMAZ GAZALTI TELİ","AD","","1","1","","1","1","0.00","0.00000"
"30812001","316 1,0 PASLANMAZ GAZALTI TELİ","KG","","1","1","","1","1","0.00","0.00000"
"3081201","316 1,2 PASLANMAZ GAZALTI TELİ","KG","","1","1","","1","1","0.00","0.00000"
"308320","308 3,25 PASLANMAZ ELEKTROT","AD","","1","1","","1","1","14.35","0.00000"
"30M10TOPUZSAP","30 M10 TOPUZ SAP","AD","","1","1","","1","1","11.20","0.00000"
"30M6TOPUZSAP","30 M6 TOPUZ SAP","AD","","1","1","","1","1","9.95","0.00000"
"30M8TOPUZSAP","30 M8 TOPUZ SAP","AD","","1","1","","1","1","10.65","0.00000"
"31016130","M16X130 310 KLT.İMBUS CİVATA","AD","","1","1","","1","1","0.00","0.00000"
"3101680","M16X80 310 KLT CİVATA+SOMUN","AD","","1","1","","1","1","0.00","0.00000"
"31025","308 2,5X250 PASLANMAZ ELEKTROT","AD","","1","1","","1","1","0.00","0.00000"
"3102PUR125","3102 PUR 125  TEKER","AD","","1","1","","1","1","0.00","0.00000"
"310325","310 3,25X250 PASLANMAZ ELEKTROT","AD","AD","1","1","","1","1","0.00","0.00000"
"32570MAX","32*570 SDS MAX MATKAP UCU","AD","","1","1","","1","1","28.00","0.00000"
"32X1000SDSMAX","32*1000 SDS MAX MATKAP UCU","AD","","1","1","","1","1","0.00","0.00000"
"3300PUB100","3300 PUB 100 DÖNER TEKER","AD","","1","1","","1","1","75.91","0.00000"
"3300PUB100F18","3300 PUB 100 F18 FRENLİ DÖNER TEKER","AD","","1","1","","1","1","99.44","0.00000"
"3302MMB080","3302 MMB 080 POLYEMİD DÖNER TEKER","AD","","1","1","","1","1","3.91","0.00000"
"3302MMB080F18","3302 MMB 080 F18 POL.DÖNER FRENLİ","AD","","1","1","","1","1","5.87","0.00000"
"3302MMB100","3302 MMB 100 DÖNER TEKER","AD","","1","1","","1","1","4.15","0.00000"
"3302MMB100F18","3302 MMB 100 F18 POL.DÖNER FRENLİ TEKER","AD","","1","1","","1","1","6.08","0.00000"
"3302MMB125","3302 MMB 125 POLYEMİD DÖNER TEKER","AD","","1","1","","1","1","4.49","0.00000"
"3302MMB125F18","3302 MMB 125 F18 POL.DÖNER FRENLİ TEKER","AD","","1","1","","1","1","6.60","0.00000"
"3302MMB150","3302 MMB 150 POL.DÖNER FRENLİ TEKER","AD","","1","1","","1","1","5.68","0.00000"
"3302MMB150F18","3302 MMB 150 F18 POL.DÖNER FRENLİ TEKER","AD","","1","1","","1","1","7.60","0.00000"
"3302MMB200","3302 MMB 200 TEKER","AD","","1","1","","1","1","9.66","0.00000"
"3302RPR200","3302 RPR 200 TEKER","AD","","1","1","","1","1","230.50","0.00000"
"3302SLP080","3302 SLP 080 TEKER","AD","","1","1","","1","1","4.70","0.00000"
"3302SLP080F18","3302 SLP 080 F18 TEKER","AD","","1","1","","1","1","6.66","0.00000"
"3302SLP150F18","3302 SLP 150 F18 TEKER","AD","","1","1","","1","1","8.61","0.00000"
"3302SLS150","3302 SLS 150 TEKER","AD","","1","1","","1","1","0.00","0.00000"
"3307MMB080","3307 MMB  080 POLYEMİT SABİT TEKER","AD","","1","1","","1","1","2.06","0.00000"
"3307MMB100","3307 MMB 100 POLYEMİD SABİT TEKER","AD","","1","1","","1","1","2.25","0.00000"
"3307MMB150","3307 MMB 150 POLYEMİD SABİT TEKER","AD","","1","1","","1","1","4.22","0.00000"
"3307MMB200","3307 MMB 200 POLYEMİD SABİT TEKER","AD","","1","1","","1","1","6.60","0.00000"
"35M10TOPUZSAP","35 M10 TOPUZ SAP","AD","","1","1","","1","1","16.05","0.00000"
"35M8TOPUZ SAP","35 M8 TOPUZ SAP","AD","","1","1","","1","1","14.95","0.00000"
"3913YSBS","3,9X13 YSB SAÇ VİDASI","AD","","1","1","","1","1","0.36","0.00000"
"3913İYSBS","3,9X13 İNOX YSB SAÇ VİDASI","AD","","1","1","","1","1","0.47","0.00000"
"3M1100","3M 1100B REFİL BOTTLES","AD","","1","1","","1","1","0.00","0.00000"
"3M1100K","3M 1100 KULAK TIKACI","AD","","1","1","","1","1","0.00","0.00000"
"3M1110","3M 1110 İPLİ KULAK TIKACI","AD","","1","1","","1","1","0.00","0.00000"
"3M1271","3M 1271 YIKANABİLİR KULAK TIKACI","AD","","1","1","","1","1","0.00","0.00000"
"3M2135","3M 2135 P3 FİLTRE","AD","","1","1","","1","1","0.00","0.00000"
"3M2721","3M 2943 GÜVENLİK GÖZLÜĞÜ","AD","","1","1","","1","1","0.00","0.00000"
